"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"04/09/2014","-300.00","Main d'oeuvre: Peintre","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Peintre"
"03/09/2014","-60.00","Peinture","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"01/09/2014","-5.00","dejeuner: sw + café","","","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON",""
"31/08/2014","-6.00","Coiffeur","","","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON",""
"31/08/2014","-2400.00","Chambre à coucher (avance)","","","> Actifs> Maison> Mobilier","> Actifs> Porte-monnaie","NON",""
"30/08/2014","500.00","Apport moon (avance Aid)","","","> Revenus> apport famille","> Actifs> Porte-monnaie","NON",""
"30/08/2014","-2.00","parking","","","> Dépenses> Auto> Autres> Parking","> Actifs> Porte-monnaie","NON",""
"30/08/2014","-20.00","cubana café","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"30/08/2014","-20.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"30/08/2014","-7.00","siphon + cache flexible","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"30/08/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"30/08/2014","-1000.00","Main d'oeuvre Saff: kamel","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"29/08/2014","-440.00","Peinture","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"28/08/2014","-30.00","Grand hotel","","","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON",""
"27/08/2014","-10.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"26/08/2014","-20.00","Transport déchets","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"26/08/2014","-25.00","sable","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"26/08/2014","-185.00","Ciment","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"22/08/2014","-50.00","week end mahdia","","","> Dépenses> Vacances","> Actifs> Porte-monnaie","NON",""
"22/08/2014","-500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"20/08/2014","-75.00","Marbre pour fenetre chambre a coucher","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos"
"20/08/2014","-50.00","Découpe plinthe partie nuit","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"17/08/2014","-40.00","Vetement halloula","","","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula"
"17/08/2014","-20.00","Resto marsa + café carrefour","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"17/08/2014","-11.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"16/08/2014","5000.00","Retrait pour travaux","","","> Actifs> Placement> Bourse> Compte bourse moon","> Actifs> Porte-monnaie","NON",""
"16/08/2014","-32.00","2 x Ciment colle + 7kg carreaux joint","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"16/08/2014","-15.00","yoghourterie marsa","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"16/08/2014","-70.00","Vetement halloula","","","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula"
"16/08/2014","-1000.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"15/08/2014","-5000.00","VERSEMENT 05820140815VER264","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"15/08/2014","-34.00","3x Ciment colle","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"15/08/2014","-30.00","Main d'oeuvre Saff: Azouz","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"15/08/2014","-15.00","Glace avec selim & dorra","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
