"Date","N°/Type","Description","Mémo","Montant EUR","Compte","Catégorie","Pointé","Labels"
"19/05/2014","","Carte Orange","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Porte-monnaie","NON","Quotidien"
"19/05/2014","","Nonna Carmela","","-65.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"13/05/2014","","Pizza a bizerte","","-20.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"11/05/2014","","5 * 65dt / jour","","320.00","> Revenus> Loyer","> Actifs> Porte-monnaie","NON",""
"10/05/2014","","cytheal & anti fongique","","-15.00","> Dépenses> Quotidien> Produits","> Actifs> Porte-monnaie","NON","Quotidien"
"10/05/2014","","dejeuner: yaourt + banaes","","-4.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"09/05/2014","","Anniversaire Halloula: Macquillage","","-80.00","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula;Quotidien"
"09/05/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"08/05/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"07/05/2014","","2 * 70dt / jour","","140.00","> Revenus> Loyer","> Actifs> Porte-monnaie","NON",""
"06/05/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"05/05/2014","","ATM EL MENZAH VI       TUNIS","","400.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"03/05/2014","","Anniversaire Halloula: Samsung S duos 2","","-305.00","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula;Quotidien"
"02/05/2014","","DAB CACS AB","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"01/05/2014","","Nirvana","","-20.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"01/05/2014","","Club des avocats","","-20.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"30/04/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"29/04/2014","","DAB BNA DU 22.04.14","","20.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"28/04/2014","","DAB CACS AUTRE BQ","","20.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"26/04/2014","","cap: eau","","-2.00","> Dépenses> Bien être et soins> Sport","> Actifs> Porte-monnaie","NON","Quotidien"
"26/04/2014","","Coiffeur","","-7.00","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON","Quotidien"
"25/04/2014","","Tennis: Grippe","","-9.00","> Dépenses> Bien être et soins> Sport","> Actifs> Porte-monnaie","NON","Quotidien"
"25/04/2014","","pes","","-3.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"25/04/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"21/04/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"21/04/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"17/04/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"16/04/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"15/04/2014","","Forfait tunisiana business (3 mois)","","-32.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Porte-monnaie","NON","Quotidien"
"15/04/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"13/04/2014","","Lavage","","-10.00","> Dépenses> Auto> Autres> Lavages","> Actifs> Porte-monnaie","NON","Quotidien"
"12/04/2014","","Golf Soukra","","-20.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"11/04/2014","","pes","","-15.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"11/04/2014","","café distributeur","","-5.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"09/04/2014","","café distributeur","","-9.50","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"08/04/2014","","dejeuner: 2*mlewi","","-5.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"04/04/2014","","club Citroen","","-60.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"03/04/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"02/04/2014","","fucacca","","-15.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
"31/03/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"28/03/2014","","Smug's","","-20.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"19/03/2014","","salon de the: the cap","","-15.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"17/03/2014","","DAB CACS AB","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"17/03/2014","","pes","","-6.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"16/03/2014","","salon de the: Hermes","","-15.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"15/03/2014","","Café","","-30.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"12/03/2014","","pes","","-10.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"03/03/2014","","DAB CACS AB","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"01/03/2014","","Coiffeur","","-7.00","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON","Quotidien"
